PARK NAME,ADDRESS,XCoord,YCoord,ACCESSIBLE,SIZE_,DISTANCE
STOP 26,10610 RIVERSIDE DR E,42.3367983,-82.9157074
STRAITH,1751 RIVERSIDE DR W
SUPERIOR,1700 TOTTEN ST,42.2901019,-83.04467149999999
TALL GRASS PRAIRIE HERITAGE,1380 TITCOMBE RD,42.2636046,-83.07197280000001
TEEDIE,2740 LAUZON RD,42.31092580000001,-82.9274118
THOMPSON,5410 EDGAR ST
THURSTON,2763 RIVARD AVE,42.30124,-82.95492999999999
TRANBY,6899 TRANBY AVE,42.31957999999999,-82.94673
TWIN OAKS,7798 TWIN OAKS DR,39.8229911,-86.04013309999999
UDINE,2891 BYNG RD,42.2872085,-82.9874426
UNITY,1204 CENTRAL AVE,35.2209235,-80.81803839999999
VETERANS' MEMORIAL,1120 COUSINEAU RD,42.24445,-83.00939
VIRGINIA,2197 SOUTH CAMERON BLVD,42.28291,-83.02775
VISION CORRIDOR,421 RIVERSIDE DR W,42.31816999999999,-83.04514999999999
WALKER HOMESITE BIKEPATH,1723 SEYMOUR BLVD,49.3191679,-123.0138642
WALKER HOMESITES,1900 SEYMOUR BLVD,49.3191679,-123.0138642
WALKERVILLE JUBILEE,611 KILDARE RD,-33.7653341,150.8714018
WELLINGTON,352 WELLINGTON AVE,42.0030601,-88.0091579
WFCU CENTRE,8787 MCHUGH ST,42.3193384,-82.9278477
WHELPTON,2771 WHELPTON ST,42.3214478,-83.0003764
WIGLE,397 ERIE ST E,42.3101112,-83.0284173
WILDWOOD,3950 WILDWOOD DR,29.8462222,-81.3617967
WILLISTEAD,1889 NIAGARA ST,42.9354895,-78.9023721
WILSON,700 MCEWAN AVE,42.3060643,-83.0525823
WINDSOR ARENA,572 MCDOUGALL ST,42.3162519,-83.03239490000001
YPRES,4500 SOMME AVE,42.303815,-82.9682073
